Data_Type,Cell_Type,Experimental_Factors,Treatment,Lab,PI,Assembly,Status,GEO_Accession,DCC_Accession,Date_Unrestricted
ChIP-seq,GM12878,Antibody=H3K27me3,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K27me3,none,Broad,Bernstein,hg19,released,GSM733758,wgEncodeEH000031,10/5/2009
ChIP-seq,GM12878,Antibody=H3K27me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/19/2010
ChIP-seq,GM12878,Antibody=H3K27me3,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH000428,7/19/2010
ChIP-seq,GM12878,Antibody=H3K27me3 Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K27me3 Version=V2,none,Broad,Bernstein,hg19,released,GSM733758,wgEncodeEH000031,10/5/2009
ChIP-seq,GM12878,Antibody=H3K36me3,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K36me3,none,Broad,Bernstein,hg19,released,GSM733679,wgEncodeEH000032,10/5/2009
ChIP-seq,GM12878,Antibody=H3K36me3,none,UW,Stamatoyannopoulos,hg18,released,,,7/21/2010
ChIP-seq,GM12878,Antibody=H3K36me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945212,wgEncodeEH000445,7/21/2010
ChIP-seq,GM12878,Antibody=H3K36me3 Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me1,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me1,none,Broad,Bernstein,hg19,released,,wgEncodeEH000033,5/5/2011
ChIP-seq,GM12878,Antibody=H3K4me1 Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me1 Version=V2,none,Broad,Bernstein,hg19,released,GSM733772,wgEncodeEH000033,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me2,none,Broad,Bernstein,hg19,released,GSM733769,wgEncodeEH000034,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me2 Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me3,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K4me3,none,Broad,Bernstein,hg19,released,GSM733708,wgEncodeEH000028,7/26/2011
ChIP-seq,GM12878,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg18,released,,,3/29/2010
ChIP-seq,GM12878,Antibody=H3K4me3,none,UW,Stamatoyannopoulos,hg19,released,GSM945188,wgEncodeEH000395,3/29/2010
ChIP-seq,GM12878,Antibody=H3K4me3 Version=V2,none,Broad,Bernstein,hg18,released,,,10/4/2009
ChIP-seq,GM12878,Antibody=H3K4me3 Version=V2,none,Broad,Bernstein,hg19,released,GSM733708,wgEncodeEH000028,10/5/2009
ChIP-seq,GM12878,Antibody=H3K79me2,none,Broad,Bernstein,hg19,released,GSM733736,wgEncodeEH001034,8/15/2011
ChIP-seq,GM12878,Antibody=H3K9ac,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K9ac,none,Broad,Bernstein,hg19,released,GSM733677,wgEncodeEH000035,10/5/2009
ChIP-seq,GM12878,Antibody=H3K9ac Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H3K9me3,none,Broad,Bernstein,hg19,released,GSM733664,wgEncodeEH001035,5/5/2011
ChIP-seq,GM12878,Antibody=H4K20me1,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=H4K20me1,none,Broad,Bernstein,hg19,released,GSM733642,wgEncodeEH000036,5/5/2011
ChIP-seq,GM12878,Antibody=H4K20me1 Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=IKZF1_(IkN)_(UCLA) Control=Standard Control,none,USC,Farnham,hg19,released,GSM935442,wgEncodeEH002811,9/18/2012
ChIP-seq,GM12878,Antibody=IRF3 Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935651,wgEncodeEH001809,7/20/2011
ChIP-seq,GM12878,Antibody=IRF4_(SC-6059) Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,7/29/2010
ChIP-seq,GM12878,Antibody=IRF4_(SC-6059) Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803390,wgEncodeEH001484,8/19/2010
ChIP-seq,GM12878,Antibody=Input,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=Input,none,Broad,Bernstein,hg19,released,GSM733742,wgEncodeEH000037,10/5/2009
ChIP-seq,GM12878,Antibody=Input,none,UT-A,Iyer,hg18,released,,,7/7/2009
ChIP-seq,GM12878,Antibody=Input,none,UT-A,Iyer,hg19,released,GSM822292,wgEncodeEH000528,7/7/2009
ChIP-seq,GM12878,Antibody=Input,none,UW,Stamatoyannopoulos,hg18,released,,,11/18/2010
ChIP-seq,GM12878,Antibody=Input,none,UW,Stamatoyannopoulos,hg19,released,,wgEncodeEH000463,11/18/2010
ChIP-seq,GM12878,Antibody=Input Control=IgG-mus,none,Stanford,Snyder,hg18,released,,,10/12/2010
ChIP-seq,GM12878,Antibody=Input Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935390,wgEncodeEH000706,10/12/2010
ChIP-seq,GM12878,Antibody=Input Control=IgG-rab,TNFa,Stanford,Snyder,hg19,released,GSM935564,wgEncodeEH002034,9/1/2011
ChIP-seq,GM12878,Antibody=Input Control=IgG-rab,none,Stanford,Snyder,hg18,released,,,12/5/2010
ChIP-seq,GM12878,Antibody=Input Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM935450,wgEncodeEH000771,4/27/2012
ChIP-seq,GM12878,Antibody=Input Control=Standard Control,none,Yale,Snyder,hg18,released,,,11/24/2009
ChIP-seq,GM12878,Antibody=Input Control=Standard Control,none,Yale,Snyder,hg19,released,GSM935413,wgEncodeEH000625,9/1/2011
ChIP-seq,GM12878,Antibody=Input Control=Standard Control Version=V2,none,Yale,Snyder,hg18,released,,,11/25/2009
ChIP-seq,GM12878,Antibody=Input Version=V2,none,Broad,Bernstein,hg18,released,,,10/5/2009
ChIP-seq,GM12878,Antibody=JunD Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH003370,3/30/2013
ChIP-seq,GM12878,Antibody=JunD Control=Standard Control,none,Yale,Snyder,hg18,released,,,11/27/2009
ChIP-seq,GM12878,Antibody=JunD Control=Standard Control,none,Yale,Snyder,hg19,released,GSM935541,wgEncodeEH000639,9/1/2011
ChIP-seq,GM12878,Antibody=JunD Control=Standard Control Version=V2,none,Yale,Snyder,hg18,released,,,11/27/2009
ChIP-seq,GM12878,Antibody=MAZ_(ab85725) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935283,wgEncodeEH002852,11/28/2012
ChIP-seq,GM12878,Antibody=MEF2A Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803511,wgEncodeEH001565,6/15/2011
ChIP-seq,GM12878,Antibody=MEF2C_(SC-13268) Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803420,wgEncodeEH001648,10/21/2011
ChIP-seq,GM12878,Antibody=MTA3_(SC-81325) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010729,wgEncodeEH002329,6/30/2012
ChIP-seq,GM12878,Antibody=MafK_(ab50322) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM1003616,wgEncodeEH003361,3/30/2013
ChIP-seq,GM12878,Antibody=Max Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935518,wgEncodeEH002806,9/18/2012
ChIP-seq,GM12878,Antibody=Max Control=Standard Control,none,Yale,Snyder,hg19,released,,wgEncodeEH000623,10/9/2009
ChIP-seq,GM12878,Antibody=Max Control=Standard Control Version=V3,none,Yale,Snyder,hg18,approved,,,10/9/2009
ChIP-seq,GM12878,Antibody=Mxi1_(AF4185) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935431,wgEncodeEH002026,3/29/2012
ChIP-seq,GM12878,Antibody=NF-E2_(SC-22827) Control=Standard Control,none,Stanford,Snyder,hg19,released,GSM935652,wgEncodeEH001808,6/3/2011
ChIP-seq,GM12878,Antibody=NF-YA Control=IgG-mus,none,Harvard,Struhl,hg19,released,,wgEncodeEH002064,6/8/2012
ChIP-seq,GM12878,Antibody=NF-YB Control=IgG-mus,none,Harvard,Struhl,hg19,released,GSM935507,wgEncodeEH002065,6/8/2012
ChIP-seq,GM12878,Antibody=NFATC1_(SC-17834) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010779,wgEncodeEH002307,6/13/2012
ChIP-seq,GM12878,Antibody=NFIC_(SC-81335) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010881,wgEncodeEH002343,9/8/2012
ChIP-seq,GM12878,Antibody=NFKB Control=IgG-rab,TNFa,Stanford,Snyder,hg19,released,,wgEncodeEH000690,6/30/2010
ChIP-seq,GM12878,Antibody=NFKB Control=IgG-rab,none,Stanford,Snyder,hg18,released,,,10/12/2010
ChIP-seq,GM12878,Antibody=NFKB Control=Standard Control,TNFa,Stanford,Snyder,hg18,released,,,6/30/2010
ChIP-seq,GM12878,Antibody=NRSF Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010744,wgEncodeEH002314,6/23/2012
ChIP-seq,GM12878,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,8/25/2009
ChIP-seq,GM12878,Antibody=NRSF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803349,wgEncodeEH001465,9/20/2011
ChIP-seq,GM12878,Antibody=Nrf1 Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935309,wgEncodeEH001846,10/19/2011
ChIP-seq,GM12878,Antibody=PAX5-C20 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,9/4/2010
ChIP-seq,GM12878,Antibody=PAX5-C20 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803391,wgEncodeEH001489,9/4/2010
ChIP-seq,GM12878,Antibody=PAX5-N19 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,9/17/2010
ChIP-seq,GM12878,Antibody=PAX5-N19 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803362,wgEncodeEH001495,9/8/2011
ChIP-seq,GM12878,Antibody=PML_(SC-71910) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010771,wgEncodeEH002308,6/13/2012
ChIP-seq,GM12878,Antibody=POU2F2 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,4/20/2010
ChIP-seq,GM12878,Antibody=POU2F2 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803534,wgEncodeEH001475,10/6/2011
ChIP-seq,GM12878,Antibody=PU.1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,4/20/2010
ChIP-seq,GM12878,Antibody=PU.1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803531,wgEncodeEH001476,9/8/2011
ChIP-seq,GM12878,Antibody=PU.1 Protocol=PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg19,released,GSM803531,wgEncodeEH001476,9/8/2011
ChIP-seq,GM12878,Antibody=Pbx3 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,4/20/2010
ChIP-seq,GM12878,Antibody=Pbx3 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803532,wgEncodeEH001477,4/20/2010
ChIP-seq,GM12878,Antibody=Pol2,none,UT-A,Iyer,hg18,released,,,9/22/2010
ChIP-seq,GM12878,Antibody=Pol2,none,UT-A,Iyer,hg19,released,GSM822270,wgEncodeEH000592,9/22/2010
ChIP-seq,GM12878,Antibody=Pol2 Control=IgG-mus,none,Stanford,Snyder,hg18,released,,,10/12/2010
ChIP-seq,GM12878,Antibody=Pol2 Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935386,wgEncodeEH000708,10/12/2010
ChIP-seq,GM12878,Antibody=Pol2 Control=Standard Control,none,Yale,Snyder,hg19,released,GSM935412,wgEncodeEH000626,11/24/2009
ChIP-seq,GM12878,Antibody=Pol2 Control=Standard Control Version=V3,none,Yale,Snyder,hg18,approved,,,11/24/2009
ChIP-seq,GM12878,Antibody=Pol2 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,8/20/2009
ChIP-seq,GM12878,Antibody=Pol2 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803355,wgEncodeEH001463,9/14/2011
ChIP-seq,GM12878,Antibody=Pol2(phosphoS2) Control=IgG-mus,none,Stanford,Snyder,hg19,released,,wgEncodeEH001858,12/31/2011
ChIP-seq,GM12878,Antibody=Pol2-4H8 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/8/2010
ChIP-seq,GM12878,Antibody=Pol2-4H8 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803485,wgEncodeEH001517,9/1/2011
ChIP-seq,GM12878,Antibody=Pol3 Control=Standard Control,none,Yale,Snyder,hg18,released,,,2/4/2010
ChIP-seq,GM12878,Antibody=Pol3 Control=Standard Control,none,Yale,Snyder,hg19,released,GSM935316,wgEncodeEH000645,9/1/2011
ChIP-seq,GM12878,Antibody=Pol3 Control=Standard Control Version=V2,none,Yale,Snyder,hg18,released,,,2/4/2010
ChIP-seq,GM12878,Antibody=RFX5_(200-401-194) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935556,wgEncodeEH001810,7/20/2011
ChIP-seq,GM12878,Antibody=RUNX3_(SC-101553) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,GSM1010893,wgEncodeEH002330,6/30/2012
ChIP-seq,GM12878,Antibody=RXRA Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803341,wgEncodeEH001541,3/7/2011
ChIP-seq,GM12878,Antibody=Rad21 Control=IgG-rab,none,Stanford,Snyder,hg18,released,,,10/15/2010
ChIP-seq,GM12878,Antibody=Rad21 Control=IgG-rab,none,Stanford,Snyder,hg19,released,,wgEncodeEH000749,10/15/2010
ChIP-seq,GM12878,Antibody=Rad21 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803416,wgEncodeEH001640,10/13/2011
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH003422,5/1/2013
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,2/14/2011
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803351,wgEncodeEH001467,10/19/2011
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg18,released,,,8/11/2009
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/6/2010
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803346,wgEncodeEH001469,10/19/2011
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803436,wgEncodeEH001634,10/21/2011
ChIP-seq,GM12878,Antibody=RevXlinkChromatin Protocol=sonicator PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803413,wgEncodeEH001647,10/21/2011
ChIP-seq,GM12878,Antibody=SIN3A_(NB600-1263) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935331,wgEncodeEH002868,12/29/2012
ChIP-seq,GM12878,Antibody=SIX5 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803338,wgEncodeEH001542,12/8/2011
ChIP-seq,GM12878,Antibody=SMC3_(ab9263) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935376,wgEncodeEH001833,10/18/2011
ChIP-seq,GM12878,Antibody=SP1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,9/16/2010
ChIP-seq,GM12878,Antibody=SP1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803363,wgEncodeEH001496,9/14/2011
ChIP-seq,GM12878,Antibody=SP1 Protocol=PCR 1-round Version=V2,none,HudsonAlpha,Myers,hg19,displayed,,wgEncodeEH001496,4/20/2010
ChIP-seq,GM12878,Antibody=SP1 Protocol=PCR 1-round Version=V3,none,HudsonAlpha,Myers,hg19,released,GSM803363,wgEncodeEH001496,4/20/2010
ChIP-seq,GM12878,Antibody=SPT20 Control=Standard Control,none,Harvard,Struhl,hg19,released,GSM935417,wgEncodeEH001873,10/19/2011
ChIP-seq,GM12878,Antibody=SREBP1 Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003617,wgEncodeEH003362,3/30/2013
ChIP-seq,GM12878,Antibody=SREBP2 Control=IgG-rab,none,Stanford,Snyder,hg19,released,GSM1003603,wgEncodeEH003363,3/30/2013
ChIP-seq,GM12878,Antibody=SRF Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803350,wgEncodeEH001464,8/28/2011
ChIP-seq,GM12878,Antibody=SRF Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803477,wgEncodeEH001624,10/5/2011
ChIP-seq,GM12878,Antibody=STAT1 Control=Standard Control,none,Stanford,Snyder,hg19,released,GSM935612,wgEncodeEH001852,10/20/2011
ChIP-seq,GM12878,Antibody=STAT3 Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935557,wgEncodeEH001811,7/20/2011
ChIP-seq,GM12878,Antibody=STAT5A_(SC-74442) Protocol=ChIP AMpure XP,none,HudsonAlpha,Myers,hg19,released,,wgEncodeEH002321,6/28/2012
ChIP-seq,GM12878,Antibody=TAF1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803537,wgEncodeEH001478,7/29/2010
ChIP-seq,GM12878,Antibody=TBLR1_(ab24550) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935653,wgEncodeEH002853,11/28/2012
ChIP-seq,GM12878,Antibody=TBLR1_(ab24550) Control=IgG-mus Version=V2,none,Stanford,Snyder,hg19,released,,wgEncodeEH002853,3/25/2013
ChIP-seq,GM12878,Antibody=TBP Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935277,wgEncodeEH001798,3/11/2011
ChIP-seq,GM12878,Antibody=TCF12 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,2/14/2011
ChIP-seq,GM12878,Antibody=TCF12 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803389,wgEncodeEH001485,9/14/2011
ChIP-seq,GM12878,Antibody=TCF3_(SC-349) Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM1010745,wgEncodeEH002315,6/23/2012
ChIP-seq,GM12878,Antibody=TR4 Control=Standard Control,none,USC,Farnham,hg18,released,,,10/7/2010
ChIP-seq,GM12878,Antibody=TR4 Control=Standard Control,none,USC,Farnham,hg19,released,GSM935480,wgEncodeEH000697,10/7/2010
ChIP-seq,GM12878,Antibody=USF-1 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg18,released,,,4/6/2010
ChIP-seq,GM12878,Antibody=USF-1 Protocol=PCR 2-round,none,HudsonAlpha,Myers,hg19,released,GSM803347,wgEncodeEH001468,9/14/2011
ChIP-seq,GM12878,Antibody=USF2 Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935558,wgEncodeEH001812,7/20/2011
ChIP-seq,GM12878,Antibody=WHIP Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935492,wgEncodeEH001787,1/26/2011
ChIP-seq,GM12878,Antibody=YY1 Control=Standard Control,none,USC,Farnham,hg18,released,,,9/19/2010
ChIP-seq,GM12878,Antibody=YY1 Control=Standard Control,none,USC,Farnham,hg19,released,GSM935482,wgEncodeEH000695,3/3/2012
ChIP-seq,GM12878,Antibody=YY1_(SC-281) Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803406,wgEncodeEH001657,11/15/2011
ChIP-seq,GM12878,Antibody=ZBTB33 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,8/30/2010
ChIP-seq,GM12878,Antibody=ZBTB33 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803392,wgEncodeEH001488,9/1/2011
ChIP-seq,GM12878,Antibody=ZEB1_(SC-25388) Protocol=sonicator PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803411,wgEncodeEH001645,10/19/2011
ChIP-seq,GM12878,Antibody=ZNF274 Control=Standard Control,none,USC,Farnham,hg19,released,GSM935349,wgEncodeEH001756,2/20/2011
ChIP-seq,GM12878,Antibody=ZNF274 Control=Standard Control Version=V2,none,Stanford,Snyder,hg19,released,,wgEncodeEH003358,3/25/2013
ChIP-seq,GM12878,Antibody=ZNF384_(HPA004051) Control=IgG-mus,none,Stanford,Snyder,hg19,released,,wgEncodeEH003388,5/1/2013
ChIP-seq,GM12878,Antibody=ZZZ3 Control=Standard Control,none,Harvard,Struhl,hg18,released,,,10/8/2010
ChIP-seq,GM12878,Antibody=ZZZ3 Control=Standard Control,none,Harvard,Struhl,hg19,released,,wgEncodeEH000698,10/8/2010
ChIP-seq,GM12878,Antibody=Znf143_(16618-1-AP) Control=Standard Control,none,Stanford,Snyder,hg19,released,,wgEncodeEH001853,10/20/2011
ChIP-seq,GM12878,Antibody=c-Fos Control=Standard Control,none,Yale,Snyder,hg19,released,,wgEncodeEH000622,8/25/2009
ChIP-seq,GM12878,Antibody=c-Fos Control=Standard Control Version=V3,none,Yale,Snyder,hg18,approved,,,8/25/2009
ChIP-seq,GM12878,Antibody=c-Jun Control=Standard Control,none,Yale,Snyder,hg18,approved,,,1/28/2011
ChIP-seq,GM12878,Antibody=c-Myc,none,UT-A,Iyer,hg18,released,,,6/8/2010
ChIP-seq,GM12878,Antibody=c-Myc,none,UT-A,Iyer,hg19,released,GSM822290,wgEncodeEH000547,6/8/2010
ChIP-seq,GM12878,Antibody=c-Myc Control=Standard Control,none,Yale,Snyder,hg18,approved,,,1/28/2011
ChIP-seq,GM12878,Antibody=c-Myc Version=V2,none,UT-A,Iyer,hg18,released,,,6/8/2010
ChIP-seq,GM12878,Antibody=p300 Control=IgG-mus,none,Stanford,Snyder,hg19,released,,wgEncodeEH002824,11/3/2012
ChIP-seq,GM12878,Antibody=p300 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,8/25/2010
ChIP-seq,GM12878,Antibody=p300 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803387,wgEncodeEH001487,8/25/2010
ChIP-seq,GM12878,Antibody=p300_(SC-584) Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935559,wgEncodeEH001813,7/20/2011
ChIP-seq,GM12878,Antibody=p300_(SC-584) Control=Standard Control,none,Stanford,Snyder,hg19,released,GSM935562,wgEncodeEH002037,5/10/2012
ChIP-seq,GM12891,Antibody=CTCF,none,UT-A,Iyer,hg18,released,,,7/6/2010
ChIP-seq,GM12891,Antibody=CTCF,none,UT-A,Iyer,hg19,released,GSM822294,wgEncodeEH000569,7/6/2010
ChIP-seq,GM12891,Antibody=CTCF Version=V2,none,UT-A,Iyer,hg18,released,,,7/6/2010
ChIP-seq,GM12891,Antibody=Input Control=IgG-mus,none,Stanford,Snyder,hg18,released,,,10/12/2010
ChIP-seq,GM12891,Antibody=Input Control=IgG-mus,none,Stanford,Snyder,hg19,released,GSM935387,wgEncodeEH000709,10/12/2010
ChIP-seq,GM12891,Antibody=Input Control=IgG-rab,TNFa,Stanford,Snyder,hg19,released,GSM935453,wgEncodeEH000772,12/5/2010
ChIP-seq,GM12891,Antibody=Input Control=IgG-rab,none,Stanford,Snyder,hg18,released,,,12/5/2010
ChIP-seq,GM12891,Antibody=NFKB Control=IgG-rab,TNFa,Stanford,Snyder,hg19,released,GSM935526,wgEncodeEH000735,10/14/2010
ChIP-seq,GM12891,Antibody=NFKB Control=IgG-rab,none,Stanford,Snyder,hg18,released,,,10/14/2010
ChIP-seq,GM12891,Antibody=PAX5-C20 Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803337,wgEncodeEH001545,8/28/2011
ChIP-seq,GM12891,Antibody=POU2F2 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/11/2010
ChIP-seq,GM12891,Antibody=POU2F2 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803397,wgEncodeEH001520,10/11/2010
ChIP-seq,GM12891,Antibody=PU.1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/10/2010
ChIP-seq,GM12891,Antibody=PU.1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803398,wgEncodeEH001521,10/10/2010
ChIP-seq,GM12891,Antibody=Pol2 Control=IgG-mus,none,Stanford,Snyder,hg18,released,,,10/12/2010
ChIP-seq,GM12891,Antibody=Pol2 Control=IgG-mus,none,Stanford,Snyder,hg19,released,,wgEncodeEH000710,10/12/2010
ChIP-seq,GM12891,Antibody=Pol2 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/11/2010
ChIP-seq,GM12891,Antibody=Pol2 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803399,wgEncodeEH001522,10/11/2010
ChIP-seq,GM12891,Antibody=Pol2-4H8 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/11/2010
ChIP-seq,GM12891,Antibody=Pol2-4H8 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803400,wgEncodeEH001523,10/11/2010
ChIP-seq,GM12891,Antibody=RevXlinkChromatin Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/10/2010
ChIP-seq,GM12891,Antibody=RevXlinkChromatin Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803481,wgEncodeEH001519,9/1/2011
ChIP-seq,GM12891,Antibody=RevXlinkChromatin Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803467,wgEncodeEH001592,10/7/2011
ChIP-seq,GM12891,Antibody=TAF1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg18,released,,,10/11/2010
ChIP-seq,GM12891,Antibody=TAF1 Protocol=PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803393,wgEncodeEH001524,10/11/2010
ChIP-seq,GM12891,Antibody=YY1_(SC-281) Protocol=biorupter PCR 1-round,none,HudsonAlpha,Myers,hg19,released,GSM803535,wgEncodeEH001573,6/27/2011
ChIP-seq,GM12892,Antibody=CTCF,none,UT-A,Iyer,hg18,released,,,7/2/2010
ChIP-seq,GM12892,Antibody=CTCF,none,UT-A,Iyer,hg19,released,GSM822299,wgEncodeEH000562,7/2/2010
